customer_id,gender,signup_date,customer_dob,customer_name,marital_status,customer_type,account_status,region,country,state,city,postal code,email,phone
1000,male,2024-01-30,2003-04-02,Andre Lane,Married,prime,Suspended,  aSIa  ,INDia,karNatAka,  benGaLuRU  ,560001,ANDRE.LANE@YAHOO.COM,+21-616-1672
1001,female,2024-05-28,1999-03-17,Michelle Lawson,Married,prime,Inactive,AsiA,  iNdIA  ,  mahARashtRa  ,mumbai)),400001,michelle.lawson@hotmail.comm,+15-543-1628
1002,m,2025-02-23,1964-01-22,Thomas Pope,Married,prime,,Asia,  jaPan  ,    TokyO    @,  SHiNJUKu  ,1600022@,,+4-682-8719
1003,female,2024-10-08,1975-02-23,Dylan Walker,single,non-prime,Active,  ASIa  ,  JapAn  $,oSaKA,KItA,5300001!,dylan.walker@yahoo.comm,+14-568-6894
1004,F,2023-07-24,2000-01-14,Adam,Married,prime,Inactive,  eUROpE  ,  geRmAny  ,bAVARIa,  MunIcH  $,80331,adam@hotmail.comm,+54-216-9224
1005,,2023-09-03,1973-01-01,Gloria Parker,single,non-prime,Inactive,EurOpe,gERmany,  bERlIN  $,BerLIn#,10115,gloria.parker@gmail.comm,+59-270-6493
1006,male,2025-06-15,1963-07-20,Kimberly Figueroa,Married,non-prime,,AfRiCA$,niGErIA#,LAgOs!,iKeJa!,100001@,kimberly.figueroagmail.com,+49-507-9030
1007,Male,2024-09-27,1955-03-08,Amy Perez,single,prime,Suspended,AfRiCA,nIgeRIa!,  ABUJA  , MaitAMA  @,  900271  !,amy.perezhotmail.com,+67-552-1340
1008,,2025-05-16,1990-09-29,Shannon Rodriguez Smith,s,prime,Inactive,noRTh aMerica,Usa,cAlIFoRNia,lOs AnGELes,90001,shannonrodriguez@yahoocom,+15-695-3565
1009,Female,2025-02-24,1970-04-21,Donald Hoffman,M,non-prime,Inactive,nOrtH ameriCA,UsA$,nEW York,NEW YoRk,10001,donald.hoffmanyahoo.com,+3-774-6630
1010,m,2024-01-06,1972-06-01,Jonathan,s,non-prime,Suspended,soUTh AmerIcA,BrAzIL,  São PaUlo  #,SÃO paulo,01000-000,jonathan@hotmail.comm,+87-413-7132
1011,other,2023-12-22,,Scott Torres Lee Lee,s,non-prime,Suspended,SoutH aMeRIcA,BraZIl,RIo dE jANEiRo,  Rio de JaneiRo  ,20000-000,scott.torresgmail.com,+12-416-9436
1012,f,2024-12-28,2002-08-09,Elizabeth,Married,non-prime,Active,  ASIA  #,  INDiA  ,  kArNATaka  ,  BEngalURU  ,560001,elizabeth@yahoo.comm,+62-986-6349
1013,m,2025-06-29,1973-11-14,Mr. Lawrence Brooks,Single,non-prime,Inactive,  ASia  ,INdIa!,  mahARashtRa  ,mumbai)),  400001  #,mr..lawrence.brooks@gmail.comm,+98-386-8324
1014,M,2023-10-30,2007-01-26,Chad Brady Fernandez Ali,M,non-prime,Suspended,aSiA,  jApan  ,    TokyO    @,  SHiNJUKu  ,  1600022  !,chad.brady@yahoo.comm,+58-117-4255
1015,M,2025-03-30,1987-08-17,Shelby,Married,non-prime,Inactive,Asia!,jaPAn,osAKa,kitA,5300001$,shelby@@hotmail.com,+57-870-3285
1016,F,2024-08-29,1965-04-18,Sandra Brown Almeida,single,non-prime,,europe,  GERmANy  ,baVaria@,Munich@,80331,sandra.brownhotmail.com,+28-905-5737
1017,Male,2024-02-26,1954-12-17,Sarah Almeida,married,,,  eURoPe  ,GERManY,  bERLin  ,bERlin,10115,,+45-503-5693
1018,m,2024-08-30,1995-06-28,Jean Smith,single,,,AFRica!,NigEria,lagos   ,IKeja,100001,jean.smith@@yahoo.com,+28-895-6799
1019,,2025-05-24,1984-06-12,Amanda,Married,prime,Suspended,  AFriCA  ,  niGeriA  !,  AbujA  !,MaitAMA,900271,amanda@@yahoo.com,+90-322-9094
1020,female,2025-07-12,1987-10-24,Travis,,non-prime,,noRtH AMerica,  uSA  #,calIFornIA,lOs angeLes,90001,,+4-908-7835
1021,Female,2025-01-07,1960-04-11,Heather,single,,,nOrTH aMERICa,  usA  @,  NeW yOrk  $,  NeW yOrk  $,10001,heather@yahoocom,+90-192-3586
1022,M,2025-05-15,2004-11-16,Rhonda Liu,M,prime,Suspended,SOUtH AmeriCA#,brAziL,   São PaUlo   $,  SãO PAuLO  ,01000-000!,rhonda.liugmail.com,+97-147-6442
1023,F,2024-03-26,1956-06-20,Jacqueline Perry,m,non-prime,Suspended,sOUtH AMerica,  BRazil  ,RIo dE JAnEIRo$,RIO DE jAnEirO,20000-000,JACQUELINE.PERRY@GMAIL.COM,+20-753-8621
1024,F,2024-05-30,1991-01-20,Amanda,single,prime,,  aSIa  ,India,@@karnataka,  bEngALUrU  ,560001$,amanda@@yahoo.com,+28-270-1693
1025,f,2025-02-09,1960-12-23,Scott,m,prime,,asiA,INdiA,  mAhARasHtrA  $,mUmbai,400001, scott@gmail.com ,+80-681-4578
1026,F,2025-02-12,1980-09-23,Diane Gilbert,Married,non-prime,Inactive,aSia,  jApAN  ,tokyo),shiNjukU,1600022, diane.gilbert@gmail.com ,+63-929-6460
1027,f,2023-10-12,2005-03-23,Rebecca Petty,single,prime,Inactive,  asIA  ,jAPAn,  OSAka  ,KIta$,5300001,REBECCA.PETTY@GMAIL.COM,+67-863-9479
